NAME,incidence,female,male,ageb,agec,agea,fageb,fagec,fagea,mageb,magec,magea,yra,yrb,yrc,yrd,yre
Congo,171.1869242928911,850.710990107095,989.548446041482,482.86429616788,1355.48312380074,1.9120161799615,187.996346731599,661.606678375088,1.10796500040884,294.867949436281,693.876445425649,0.804051179552663,80.8755169828392,84.3777656680636,88.1949975994346,92.0582162874782,94.9645435289586
Cote d'Ivoire,320.36800924433317,1591.79179712256,1852.16430225402,856.611928151484,2578.6004927183,8.74367850679796,322.813709730256,1261.68619393115,7.29189346115266,533.798218421229,1316.91429878715,1.4517850456453,158.599414339456,164.139104823287,168.284667320144,175.80819263191,182.245386458561
Congo DRC,1234.0733675789502,5763.98162102579,7502.30708044792,3207.2719093603,10043.1797352277,15.8370568857347,1090.60714179842,4664.70002711821,8.67445210915853,2116.66476756188,5378.47970810947,7.16260477657622,578.887136048164,607.055199470556,635.310622793748,668.18555730754,693.426806369688
Djibouti,24.325591854182463,115.834978923465,145.665133508996,73.0495127882034,187.951803078754,0.498796565504449,27.1044064213431,88.3905464467074,0.340026055414507,45.9451063668603,99.5612566320463,0.158770510089942,13.6947182484534,14.3577387021497,15.2959443185412,16.119313649567,16.9732649820828
Egypt,4874.823510556066,18893.8312169506,33510.5215215271,12093.4280542852,40255.7719271297,55.1527570628722,3720.16599950705,15148.5174228436,25.1477945999508,8373.26205477812,25107.2545042861,30.0049624629214,2771.29113767535,2895.8943916076,3000.71910972807,3143.74843382399,3268.77434708552
Equatorial Guinea,29.762381112116362,147.758501843164,172.187095112087,78.5822432706874,240.869024721165,0.494328963398393,31.3120904022893,116.185542467065,0.260868973810016,47.2701528683981,124.6834822541,0.233459989588376,17.7497699644841,18.7760209531424,19.8559289682428,20.7513908338853,21.3736732913907
Eritrea,116.14495610124577,684.988575784732,563.56970230366,363.205892694343,882.10871017762,3.24367521642985,157.605397152362,525.209486504196,2.17369212817333,205.60049554198,356.899223673424,1.06998308825651,53.3543956774932,55.4445033321297,57.5669723619972,59.9682284937126,62.1614201658655
Eswatini,87.80309249072938,388.494494185063,555.388750090278,262.46950975772,680.363765994963,1.04996852265726,77.8854717740386,310.061047734195,0.5479746768289,184.584037983682,370.302718260768,0.50199384582836,38.3521875490581,39.1857735479103,39.893686845595,40.1369716884864,39.6916326825878
Ethiopia,786.8370022474309,4328.09037984942,4130.40739431046,1947.95853190684,6485.06647050617,25.4727717468691,933.917450721282,3373.9749211067,20.1980080214376,1014.04108118556,3111.09154939947,5.2747637254315,364.083547081119,386.276411022292,409.20861275081,431.973880697047,450.727020460343
Gabon,99.96345891965522,469.667254726324,604.93992865997,231.276304908712,842.49078826442,0.840090213161677,76.9537454155017,392.221806472191,0.491702838630999,154.32255949321,450.268981792229,0.348387374530677,45.5620091183973,47.4168236023862,49.3110124738603,50.872506061204,51.7341823826663
Gambia,31.353382727789064,139.569485130235,197.479379193497,68.6814470490278,267.649844778124,0.717572496581164,23.1026376150742,115.918991172528,0.547856342632412,45.5788094339536,151.730853605595,0.169716153948752,16.6005772285354,17.0643221875998,18.0059115279254,18.2929425390905,18.6721330723999
Ghana,856.3146604808544,4565.6341434609,4639.74845670829,2046.98941747365,7146.5049482203,11.8882344752379,782.030988767036,3774.78751173358,8.81564296027902,1264.95842870661,3371.71743648672,3.07259151495886,524.745119762265,552.56356151868,578.468138839999,602.670881527337,621.475403521435
Guinea,163.08214044966766,375.009118064471,1378.12389176946,336.747337078741,1414.25615630385,2.12951645133642,59.119389971819,314.661767717237,1.22796037541425,277.627947106922,1099.59438858661,0.901556075922178,73.1034161895178,74.9406710481894,76.8566144166712,78.5926655253904,79.4258851704703
Guinea-Bissau,38.90116811331654,189.898196498985,228.289360719168,107.796353639935,309.610861244459,0.780342333758575,40.1085906578771,149.264471393338,0.525134447769532,67.6877629820583,160.346389851121,0.255207885989043,19.1371899995652,20.0078747823891,20.8292262580686,21.4061333881795,21.7590720076993
