NAME,mortality,female,male,ageb,agec,agea,fageb,fagec,fagea,mageb,magec,magea,yra,yrb,yrc,yrd,yre
Ethiopia,806.746966257921,5474.32310550873,5215.07419740873,2226.05401971106,8434.4119844065,28.931298799897,1069.26062111414,4382.3228725899,22.7396118046896,1156.79339859691,4052.08911181661,6.19168699520742,386.038079424597,409.546021982939,434.197693948585,457.417882729063,476.802148907287
Gabon,98.62730553868197,577.481959061572,729.329839325964,242.822359615756,1063.05991217913,0.929526592651216,81.1092758860638,495.833912379559,0.538770795948922,161.713083729692,567.22599979957,0.390755796702294,47.5942364407617,49.5037878395925,51.4313041329138,52.9886870261017,53.8168486584633
Gambia,29.247302172148775,161.711084120563,225.815669660408,70.1114315782524,316.661644697392,0.753677505327175,23.386313861448,137.751216348314,0.573553910801595,46.7251177168044,178.910428349078,0.180123594525579,17.5472206415204,18.0371816580335,19.0067673960419,19.2939004140727,19.6543925176945
Ghana,778.4919754074701,5115.24830317865,5199.77037097033,2047.20133951782,8255.12330505485,12.694029576312,778.886152133291,4327.01321810054,9.34893294481579,1268.31518738453,3928.1100869543,3.34509663149618,550.017964222697,579.307228853558,606.52904927346,631.59273605165,650.486015369438
Guinea,161.039602532619,466.156903229068,1667.61783032813,356.352672835036,1775.07289671791,2.34916400425578,64.6239556901941,400.175726083504,1.35722145536908,291.728717144842,1374.89717063441,0.991942548886702,77.5887190409354,79.4615766871525,81.4419718245805,83.1393829569147,83.7928079090325
Guinea-Bissau,37.89535809861986,221.632663740517,280.480831066196,114.825222184331,386.420122072867,0.868150549515054,42.2826729877412,178.774272741198,0.575718011577833,72.54254919659,207.645849331669,0.29243253793722,19.7757330607989,20.6731821030268,21.5129751788747,22.085756553775,22.4159550759983
Kenya,864.2828715910422,6434.32659108374,5017.42145749757,2352.03634968474,9072.34993677987,27.3617621167072,1150.97932689958,5261.81319625686,21.5340679273056,1201.05702278516,3810.53674052301,5.82769418940156,549.767293713907,582.608500642299,616.018646343158,645.042561098307,668.093834665304
Lesotho,126.88042174444398,830.730845455704,850.43474265818,315.677046992394,1364.42583409657,1.0627070249169699,104.334408304804,725.839558691546,0.556878459353684,211.34263868759,638.586275405026,0.505828565563286,62.6481086756869,63.3550073775348,64.5504156186339,64.6511423628707,62.6495786287217
Liberia,83.40571312005548,473.730770450757,631.394928389978,207.684224623884,895.989154703599,1.45231951325191,69.6336906073678,403.071915616076,1.02516422731419,138.050534016516,492.917239087524,0.427155285937721,44.9202527924864,46.6744603716986,49.1432267205699,51.5561567192211,53.5216541625408
Libya,592.2822717584064,3010.16830101161,4837.57179978727,1621.11420759181,6217.50626940607,9.11962380100526,552.465640708969,2452.39759169512,5.30506860752559,1068.64856688285,3765.10867771095,3.81455519347967,344.680932392769,355.895415554067,368.956028478406,380.119751361969,389.728834880718
Madagascar,350.13839878266015,2493.08588533659,2146.24789853366,1059.88885464252,3564.50331624227,14.9416129854553,537.337719247095,1943.93059829762,11.8175677918708,522.55113539543,1620.57271794465,3.12404519358446,156.443878741461,164.118202930698,171.913496221152,179.748250933206,186.535930986107
Malawi,131.92110779356983,1108.65866600219,639.296012262607,332.41777870402,1409.62827285456,5.90862670622492,180.978560497966,922.658843911918,5.02126159230986,151.439218206054,486.969428942638,0.887365113915068,64.7501361073867,67.7145912966008,70.5185490104712,73.2030285950478,74.9560337868051
Mali,359.91373889120393,1227.28975483401,3541.56728547444,865.501953907712,3896.61348409963,6.7416023011135104,217.5735938365,1005.17170801183,4.54445298568245,647.928360071212,2891.4417760878,2.19714931543106,193.574547235391,200.732779306447,207.989210698244,213.516144277077,216.858922851433
Mauritania,107.76744475264726,755.582562733867,672.33608023871,211.037505161298,1215.44145625861,1.43968155267046,90.1830735743638,664.321973943437,1.07751521606544,120.854431586935,551.11948231517,0.362166336605017,61.8476631589019,65.0960231897758,70.1395119960153,73.572932532968,77.8248408618604
Mauritius,147.1609513803989,850.056195714205,1099.82641007608,367.609676619446,1581.22318854653,1.04974062430992,115.369229490066,734.265515121885,0.421451102254263,252.240447129381,846.957673424644,0.628289522055656,79.6642867080994,83.8838801445005,89.4679963938003,88.6035311899091,95.0672797715699
Morocco,842.4881185684678,4143.66743184898,7019.30013918322,1696.66116028559,9457.15304712761,9.1533636190051,634.599737815655,3502.92040611137,6.14728792195559,1062.06142246993,5954.23264101624,3.0060756970495,512.906723957349,543.618298108175,570.955454442366,593.22166882222,610.434231521443
Mozambique,144.2186903010472,895.322742141773,1015.5749043471,273.661298885102,1635.49282722497,1.7435203788067,91.3579914810726,802.924887992992,1.03986266770911,182.303307404029,832.567939231973,0.703657711097588,75.449748441025,77.5162320503632,80.0072185340568,81.9764046075643,82.7901942395022
Namibia,36.782125957513195,202.268645609266,285.094523327784,105.329598309965,381.292757824286,0.740812802798734,30.7674206015539,171.080994485665,0.420230522047364,74.5621777084112,210.211763338621,0.320582280751371,18.5085358553024,19.3457552153885,20.1003400092448,20.6642569050171,20.8943515734428
Niger,180.99786649327567,1111.4637015023,1286.7580295336,453.09172393815,1941.42388525409,3.7061218436641,173.374596081089,935.393536608236,2.69556881297928,279.717127857062,1006.03034864585,1.01055303068481,112.186421440023,117.436086149266,123.002548427292,128.497705233665,133.220755936595
