NAME,prevalence,female,male,ageb,agec,agea,fageb,fagec,fagea,mageb,magec,magea,yra,yrb,yrc,yrd,yre
Egypt,4020.4983825025115,15320.80885546,27899.548756442,12884.8680938992,30257.8442054287,77.6453125740643,4052.17800984198,11231.9654225092,36.665423108884,8832.69008405726,19025.8787829195,40.9798894651803,2273.85782615103,2375.42081732367,2462.1055087096,2581.27983925175,2682.1291523447
Equatorial Guinea,24.443209595696725,118.854855762476,143.909647391264,86.0359542392163,176.041547963904,0.687000950619117,34.3252579475857,84.1625768095705,0.367021005319912,51.7106962916306,91.8789711543339,0.319979945299205,14.7183050157129,15.6324250033882,16.5940978537389,17.4366311119166,18.0547656249381
Eritrea,96.84201747644961,551.60493985042,489.446748021414,382.991059742547,653.691850612468,4.36877751681819,165.247650335801,383.410978466459,2.94631104815952,217.743409406746,270.280872146009,1.42246646865867,44.4417437258808,46.2028267699504,47.9774819562718,50.0313805964874,51.9472271895552
Eswatini,70.6905173622029,299.34100626522,460.582055378461,264.468274436789,494.032987439724,1.42179976716819,79.7837214516312,218.808214445101,0.749070368487234,184.684552985158,275.224772994623,0.672729398680953,31.0869933043113,31.7819058730809,32.3773027076503,32.6358923612524,32.4659219124197
Ethiopia,631.1111004208146,3473.39130982276,3311.053019701,2110.40504983384,4639.47411551031,34.5651641796071,1032.61736864953,2413.25292321884,27.5210179543978,1077.78768118431,2226.22119229147,7.04414622520932,290.759167597015,308.464072305948,326.796480831876,345.823157745281,361.946767949669
Gabon,79.17601394588118,358.534999623407,492.607150294816,242.827541484143,607.157111934677,1.15749649940258,81.8691802886953,275.981291990803,0.684527343908513,160.958361195448,331.175819943874,0.47296915549407,36.6663465213505,38.1681852193567,39.7438311856023,41.084381365012,41.8291165989707
Gambia,24.921520720445315,107.874018814236,160.032328930551,76.3710279573544,190.54984285163,0.985476935802414,26.5186720518225,80.5989868332685,0.75635992914536,49.8523559055319,109.950856018362,0.229117006657054,13.2355855544581,13.6277314885269,14.4475745547608,14.7130630661097,15.0858212384209
Ghana,697.3149930735417,3619.05571827979,3877.08045726078,2309.35335239359,5170.33327129042,16.4495518565645,915.773074165665,2691.00719819407,12.2754459200561,1393.58027822793,2479.32607309634,4.17410593650839,427.866899784647,450.24475046097,471.223884612505,491.152350608635,506.840029653823
Guinea,126.96902879683066,286.774020358753,1078.14303920718,365.643027437148,996.405233486311,2.86879864246968,66.3347973979659,218.772561715095,1.66666124569249,299.308230039182,777.632671771216,1.20213739677718,58.0528011622595,59.693676175767,61.3862742352465,63.0637545922603,64.1363616037546
Guinea-Bissau,32.167911704427866,153.755068789775,192.049982032825,119.363625123954,225.392847072987,1.04857862565826,45.8046416131327,107.240600044299,0.70982713234329,73.5589835108213,118.152247028688,0.338751493314968,16.0474186655023,16.7992099583615,17.5125518667688,18.0474133115135,18.4046501657266
Kenya,758.3411430101571,4429.71899765784,3722.44828970135,2570.14595056241,5547.35254438553,34.668792411248,1272.66288297074,3129.71320623209,27.3429084550106,1297.48306759167,2417.63933815344,7.32588395623743,430.643871283211,456.190831556007,482.26486692267,505.28101631109,524.191786668871
Lesotho,101.97947661481395,506.100097065842,590.179276543408,300.667470674273,794.314502881003,1.2974000539744,98.6288571362625,406.786072318377,0.685167611202837,202.03861353801,387.528430562626,0.612232442771565,46.5099349014729,47.0447537003333,47.9197196974166,48.0287561975086,46.9211075489343
Liberia,66.50887250545051,304.994271691706,409.976107741887,219.511578177954,493.69832811949,1.76047313614906,75.7067244779031,228.014924083687,1.27262313011584,143.804853700051,265.683404035803,0.487850006033219,35.4618235097346,37.0031614925574,39.1906300587161,41.4007274182393,43.2292879417915
Libya,537.0291714628078,2180.69814958483,3592.36544364035,1902.49443620828,3858.20550139428,12.3636556226243,668.540798317935,1504.78181257043,7.37553869646622,1233.95363789035,2353.42368882384,4.98811692615804,287.299517020745,297.141927119736,308.044528817673,317.362035276367,325.416649296151
Madagascar,281.08159716442674,1625.89533313854,1395.73183637905,1052.2736081633,1951.68686590891,17.66669544538,542.215058741332,1069.61350215624,14.0667722409665,510.058549421963,882.073363752671,3.59992320441346,128.897111714176,135.293221240298,141.740764520775,148.380663016183,154.190910492054
Malawi,107.13933081370504,706.176098414805,445.571707832525,339.197453798664,805.363842998769,7.18650944989591,185.309104142801,514.753532784108,6.11346148789493,153.888349655863,290.610310214661,1.07304796200099,50.234925707679,52.531042692252,54.7497742029629,56.8074274680263,58.3491238576216
Mali,286.4517469168271,805.311885138822,2274.04439421707,845.598121679335,2225.55602537657,8.20213229998603,221.946212412383,577.743031120467,5.62264160597142,623.651909266952,1647.8129942561,2.5794906940146,147.033491617408,152.552603864178,158.113688288043,162.884787254046,166.632774058651
Mauritania,86.08163655753417,484.741299010953,440.636293982539,222.867976136686,700.673349872365,1.83626698444171,95.9369684095939,387.40074205132,1.40358855003918,126.931007727092,313.272607821045,0.432678434402529,45.2195849892177,47.5924379538801,51.4663911793207,54.1171554244825,57.4908278655937
Mauritius,127.21210952273931,564.379482991265,803.150694378183,405.807339409658,960.467968266584,1.25486969320609,132.07311452326,431.796188112114,0.510180355891415,273.734224886398,528.67178015447,0.744689337314678,62.8111305201543,66.2615141307262,70.9318232175147,70.3562945956072,74.2880270869654
Morocco,689.314202372891,2767.27672626271,4642.85094924587,1738.61579056765,5660.46347940172,11.0484055392147,673.455480183596,2086.2527149531,7.56853112600762,1065.16031038405,3574.21076444861,3.47987441320705,383.224522316836,406.27125309586,427.029883617108,445.166883725364,459.236336360386
Mozambique,107.23039919224547,501.685558953436,651.041232363203,256.566482715115,894.092834574897,2.06747402662667,82.5428373061122,417.907619300239,1.23510234708486,174.023645409003,476.185215274658,0.832371679541805,53.753593222005,55.215280912551,57.0330275430677,58.4988147673281,59.3588469412654
Namibia,31.129091366300326,128.602800409109,206.03493177862,106.706392740885,227.043805756161,0.887533690682365,30.7036749749502,97.3947087203018,0.504416713856523,76.0027177659351,129.649097035859,0.383116976825842,14.4807668728408,15.1657605915142,15.7787728130909,16.2588819772381,16.5188018763432
Niger,152.7842031758309,764.368483122694,878.061701017487,466.748607870666,1171.13139713504,4.55017913447629,184.01105785391,576.981507292003,3.37591797678027,282.737550016756,594.149889843036,1.17426115769602,85.5551079711965,89.4757697971185,93.5902202900729,97.6092423261277,101.289166398389
Nigeria,1083.5662923857699,7366.27914942574,4282.05849372129,3108.47863194861,8487.31400877922,52.5450024191977,1811.00433056797,5507.26147494352,48.0133439142454,1297.47430138064,2980.0525338357,4.5316585049522,582.391550613847,607.796614115145,633.180728403882,658.037659171834,689.032042823895
Rwanda,218.60614117760267,1279.00401457556,1071.01200308367,740.778557615718,1596.68053382756,12.5569262159494,351.446218408837,917.519006092376,10.03879007435,389.33233920688,679.161527735186,2.51813614159947,97.371228364414,102.885735711851,109.222032169443,115.98123428882,121.107860027749
Sao Tome and Principe,1.4060516321930734,6.80416128592115,8.3108937601544,4.32891970924569,10.7669126143546,0.0192227224752385,1.72750357541454,5.06938856759767,0.0072691429089349,2.60141613383115,5.69752404675695,0.0119535795663036,0.697418986500509,0.733480368114859,0.769704190815218,0.803200257832032,0.829968643613523
Senegal,270.1271835145471,1336.58468867243,1567.28253410895,789.48768561862,2107.49856174942,6.88097541334087,298.941335547732,1032.69479772619,4.94855539850942,490.546350070889,1074.80376402323,1.93242001483145,148.227764909442,153.479210241486,164.749022622699,170.72990194059,175.365424115775
Seychelles,10.156834087697288,37.5983714289168,71.5875950138291,34.3186425585247,74.769569391015,0.097754493206162,8.63780754261987,28.9257867055246,0.0347771807723274,25.6808350159048,45.8437826854904,0.0629773124338346,4.90969410599548,5.15088614849394,5.39611151198182,5.02923769815275,4.94737436621807
